,0
504,9076.082
505,8390.083
506,7473.081999999999
507,7608.084999999999
508,7353.085999999999
509,7095.0869999999995
510,6900.0869999999995
511,7223.085999999999
512,7478.084999999999
513,8258.088
514,8198.089
515,8546.088
516,8946.088
517,9001.089
518,9399.088
519,9009.088
520,9810.086
521,10005.088
522,9618.09
523,9033.09
524,9038.089
525,9123.09
526,9326.089
527,9147.087
528,9139.088
529,10309.088
530,9722.088
531,9722.088
532,9475.088
533,9805.089
534,9212.09
535,8287.09
536,7752.089999999999
537,7887.090999999999
538,7497.090999999999
539,7107.090999999999
540,6829.089999999999
541,6889.088999999999
542,7084.088999999999
543,7534.087999999999
544,7131.089999999999
545,7853.092
546,7930.093999999999
547,7922.094999999999
548,8460.094
549,8205.095
550,9180.095
551,9405.098999999998
552,9210.098999999998
553,8690.096999999998
554,8877.097999999998
555,9030.096999999998
556,9225.096999999998
557,9285.095999999998
558,9285.095999999998
559,10268.094999999998
560,9715.095999999998
561,9523.095999999998
562,9588.094
563,9982.093
564,9592.093
565,8870.092
566,8387.091999999999
567,8506.095000000001
568,8066.096
569,7676.096
570,7286.096
571,6904.094999999999
572,7099.094999999999
573,7294.094999999999
574,6912.093999999999
575,7522.096
576,7862.095999999999
577,7922.094999999998
578,8491.097
579,7981.098999999999
580,9159.098
581,9744.098
582,9539.098000000002
583,9412.096000000001
584,9277.095000000001
585,9620.095000000001
586,10066.095
587,9638.094
588,9838.092999999999
589,10618.091999999999
590,10075.090999999999
591,9880.090999999999
592,9677.091999999999
593,9274.092999999999
594,9274.091999999999
595,8604.089999999998
596,7824.09
597,8274.087
598,7889.084
599,7749.084
600,7686.084
601,7491.083
602,7460.076999999999
603,7590.077
604,7595.076
605,7790.074
606,7875.074
607,7688.072999999999
608,7953.076
609,7693.077
610,8546.072
611,9136.070000000002
612,9510.072
613,9323.070000000002
614,9438.067000000001
615,9635.067000000001
616,10680.065
617,10485.065
618,10432.066
619,10702.068000000001
620,10209.066
621,9819.066
622,9632.064
623,9640.063
624,8935.064
625,8985.063
626,8848.062
627,8987.063
628,8592.062
629,8600.061
630,8626.06
631,8829.059
632,8413.062
633,8558.064
634,8400.065
635,8155.064
636,8495.059000000001
637,8097.06
638,8529.062000000002
639,8521.063000000002
640,9496.062000000002
641,9691.062000000002
642,10089.060000000001
643,9752.059000000001
644,10295.058
645,10627.058
646,10754.059000000001
647,10559.058
648,10559.057
